exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Weighted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/WtUnderhandChinup,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Coracobrachialis; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Parallel Close Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/WtCloseGripChinup,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/WtPullup,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Band-assisted Archer Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASArcherPullupBand,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Band-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASChinupBand,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Band-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASPullupBand,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Band-assisted Parallel Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASParallelGripPullupBand,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Coracobrachialis; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Archer Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWArcherPullup,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWUnderhandChinup,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
One Arm Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWOneArmPullup,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor",,,,,"Triceps, Long        Head",,,,,,,,,,,,,,,,,,,,,
Parallel Close Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWCloseGripChinup,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Partner-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsUnderhandChinupPartner,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Partner-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsChinupPartner,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Self-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsUnderhandChinupSelf,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis        Major, Sternal; Pectoralis Minor",,,,,"Biceps Brachii; Triceps, Long        Head",,,,,,,,,,,,,,,,,,,,,
Self-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsChinupSelf,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/STPullup,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Rhomboids; Levator Scapulae; Trapezius, Lower; Pectoralis Major, Sternal; Coracobrachialis; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Self-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/STSelfAssistedPullup,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Middle; Trapezius, Lower; Pectoralis Minor","Triceps, Long Head",,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/BBShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Trap Bar Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/TBShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Cable Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/CBShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/CBShrugStirrups,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/DBShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Shrug (plate loaded),https://exrx.net/WeightExercises/TrapeziusUpper/LVSeatedShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Shrug (plate loaded),https://exrx.net/WeightExercises/TrapeziusUpper/LVShrugH,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Lever Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/LVShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Sled Gripless Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/SLXGripShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Smith Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/SMShrug,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Hang Clean,https://exrx.net/WeightExercises/OlympicLifts/HangClean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverted Shrug (on parallel bars),https://exrx.net/WeightExercises/TrapeziusUpper/BWInvertedShrugPB,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Inverted Shrug,https://exrx.net/WeightExercises/TrapeziusUpper/BWInvertedShrugRings,"Trapezius, Upper","Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/CBStandingExternalRotation,Infraspinatus,"Teres Minor; Deltoid, Posterior",,"Rhomboids; Trapezius, Lower; Deltoid, Lateral; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Lying Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/DBLyingExternalRotation,Infraspinatus,"Teres Minor; Deltoid, Posterior",,"Rhomboids; Trapezius, Lower; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Upright Shoulder External Rotation (with support),https://exrx.net/WeightExercises/Infraspinatus/DBUprightExternalRotationSupport,Teres Minor,"Infraspinatus; Deltoid, Posterior; Supraspinatus",,Serratus Anterior; Wrist Extensors,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Shoulder External Rotation (plate loaded),https://exrx.net/WeightExercises/Infraspinatus/LVShoulderExternalRotationPL,Teres Minor,"Infraspinatus; Deltoid, Posterior; Supraspinatus",,Serratus Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Lever Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/LVExternalRotation,Infraspinatus,"Teres Minor; Deltoid, Posterior",,"Trapezius, Lower; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Suspended Shoulder External Rotation,https://exrx.net/WeightExercises/Infraspinatus/STShoulderExternalRotation,Infraspinatus,"Teres Minor; Deltoid, Posterior; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Latissimus Dorsi; Teres Major; Wrist Extensors; Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Shoulder Internal Rotation,https://exrx.net/WeightExercises/Subscapularis/CBStandingInternalRotation,Subscapularis,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Latissimus Dorsi; Teres Major; Deltoid, Anterior; Coracobrachialis",,Pectoralis Minor; Rhomboids; Levator Scapulae; Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Shoulder Internal Rotation (on floor),https://exrx.net/WeightExercises/Subscapularis/DBInternalRotationFloor,Subscapularis,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Latissimus Dorsi; Teres Major; Deltoid, Anterior; Coracobrachialis",,Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Shoulder Internal Rotation (plate loaded),https://exrx.net/WeightExercises/Subscapularis/LVShoulderInternalRotationPL,Subscapularis,"Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Coracobrachialis",,Serratus Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Lever Shoulder Internal Rotation,https://exrx.net/WeightExercises/Subscapularis/LVInternalRotation,Subscapularis,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Latissimus Dorsi; Teres Major; Deltoid, Anterior; Coracobrachialis",,Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Machine-assisted Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/AsChestDip,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Machine-assisted Chest Dip (kneeling),https://exrx.net/WeightExercises/PectoralSternal/AsChestDipKneeling,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Barbell Bench Press,https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Bench Press (power lift),https://exrx.net/WeightExercises/PectoralSternal/BBBenchPressPowerLift,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Erector Spinae; Gluteus Maximus,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Decline Bench Press,https://exrx.net/WeightExercises/PectoralSternal/BBDeclineBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Lying Fly,https://exrx.net/WeightExercises/PectoralSternal/CBLyingFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Biceps Brachii, Short Head; Coracobrachialis",,Biceps Brachii; Brachialis; Triceps Brachii; Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Cable Fly,https://exrx.net/WeightExercises/PectoralSternal/CBSeatedFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Biceps Brachii, Short Head; Coracobrachialis",,Biceps Brachii; Brachialis; Triceps Brachii; Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Standing Fly,https://exrx.net/WeightExercises/PectoralSternal/CBStandingFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Coracobrachialis",,Biceps Brachii; Brachialis; Triceps Brachii; Wrist Flexors; Rectus Abdominis; Obliques,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Bench Press,https://exrx.net/WeightExercises/PectoralSternal/CBBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBChestPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Standing Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBStandingChestPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Pectoralis Minor; Serratus Anterior,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Decline Chest Press,https://exrx.net/WeightExercises/PectoralSternal/CBDeclineChestPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Bench Press,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Decline Bench Press,https://exrx.net/WeightExercises/PectoralSternal/DBDeclineBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Fly,https://exrx.net/WeightExercises/PectoralSternal/DBFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Biceps Brachii, Short Head; Coracobrachialis",,Biceps Brachii; Brachialis; Triceps Brachii; Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Pullover,https://exrx.net/WeightExercises/PectoralSternal/DBPullover,"Pectoralis Major, Sternal","Latissimus Dorsi; Teres Major; Triceps, Long Head; Deltoid, Posterior; Pectoralis Minor; Rhomboids; Levator Scapulae",,"Triceps Brachii; Deltoid, Anterior; Pectoralis Major, Clavicular; Coracobrachialis; Wrist Flexors",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Bench Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVBenchPressH,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Lever Chest Dip (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVChestDipH,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Chest Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVChestPressH,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Lever Decline Chest Press (plate loaded),https://exrx.net/WeightExercises/PectoralSternal/LVDeclineChestPressPL,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Lever Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/LVChestDip,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lying Fly (gripless),https://exrx.net/WeightExercises/PectoralSternal/LVLyingFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Coracobrachialis; Serratus Anterior",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Pec Deck Fly,https://exrx.net/WeightExercises/PectoralSternal/LVPecDeckFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Coracobrachialis; Pectoralis Minor; Serratus Anterior",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Seated Fly,https://exrx.net/WeightExercises/PectoralSternal/LVSeatedFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Pectoralis Minor; Deltoid, Anterior; Biceps Brachii, Short Head; Coracobrachialis; Serratus Anterior",,Biceps Brachii; Brachialis; Wrist Flexors,,,,,,,,,,,,,,,,,,,,,,,,
Lever Bench Press,https://exrx.net/WeightExercises/PectoralSternal/LVBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Lever Chest Press,https://exrx.net/WeightExercises/PectoralSternal/LVChestPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Chest Press,https://exrx.net/WeightExercises/PectoralSternal/LVChestPressS,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Decline Chest Press,https://exrx.net/WeightExercises/PectoralSternal/LVDeclineChestPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Sled Standing Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/SLStandingChestDip,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Smith Bench Press,https://exrx.net/WeightExercises/PectoralSternal/SMBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Smith Decline Bench Press,https://exrx.net/WeightExercises/PectoralSternal/SMDeclineBenchPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/WtChestDip,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Push-up,https://exrx.net/WeightExercises/PectoralSternal/WtPushup,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Rectus Abdominis; Obliques; Quadriceps; Pectoralis Minor; Serratus Anterior,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Band-assisted Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/ASChestDipBand,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/BWChestDip,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Push-up,https://exrx.net/WeightExercises/PectoralSternal/BWPushup,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Serratus Anterior; Pectoralis Minor; Rectus Abdominis; Obliques; Quadriceps,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Archer Push-up,https://exrx.net/WeightExercises/PectoralSternal/BWArcherPushup,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Serratus Anterior; Pectoralis Minor; Rectus Abdominis; Obliques; Quadriceps,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Incline Push-up,https://exrx.net/WeightExercises/PectoralSternal/BWInclinePushup,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Rectus Abdominis; Obliques; Pectoralis Minor; Serratus Anterior; Quadriceps; Gastrocnemius; Soleus,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Push-up (on knees),https://exrx.net/WeightExercises/PectoralSternal/BWPushupKnee,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Serratus Anterior; Pectoralis Minor; Rectus Abdominis; Obliques,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Self-assisted Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/AsChestDipSelf,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Suspended Self-assisted Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/STSelfAssistedChestDip,"Pectoralis Major, Sternal","Deltoid, Anterior; Triceps Brachii; Pectoralis Major, Clavicular; Pectoralis Minor; Rhomboids; Levator Scapulae; Latissimus Dorsi; Teres Major; Coracobrachialis",,"Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Suspended Chest Press,https://exrx.net/WeightExercises/PectoralSternal/STChestPress,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Triceps Brachii; Coracobrachialis","Biceps Brachii, Short Head",Rectus Abdominis; Obliques; Pectoralis Minor; Serratus Anterior; Quadriceps; Gastrocnemius; Soleus,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Suspended Fly,https://exrx.net/WeightExercises/PectoralSternal/STFly,"Pectoralis Major, Sternal","Pectoralis Major, Clavicular; Deltoid, Anterior; Biceps Brachii, Short Head; Coracobrachialis",,Rectus Abdominis; Obliques; Pectoralis Minor; Serratus Anterior; Quadriceps; Gastrocnemius; Soleus; Biceps Brachii; Brachialis; Triceps Brachii; Wrist Flexors,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
